Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Sales_scaled,Profit_scaled,Quantity_bin,Quantity_cat
4/14/2017,4/15/2017,First Class,Craig Leslie,Home Office,United States,Springfield,Missouri,Central,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,8.76,2.0,0.0,4.2048,0.0029663175286679822,0.3971773863840783,0,Low
06-10-2016,6/15/2016,Standard Class,Olvera Toch,Consumer,United States,Los Angeles,California,West,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,32.4,5.0,0.0,15.552,0.011398706462976676,0.5002698327037237,0,Low
10-10-2015,10-12-2015,First Class,Katherine Nockton,Corporate,United States,Santa Barbara,California,West,OFF-LA-10000414,Office Supplies,Labels,Avery 503,31.05,3.0,0.0,14.904,0.010917161409621484,0.4943825737133887,0,Low
03-07-2017,03-12-2017,Standard Class,Shahid Hopkins,Consumer,United States,New York City,New York,East,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,25.92,6.0,0.2,9.072,0.009087290206871755,0.4413972428003729,1,Medium
5/26/2016,5/31/2016,Standard Class,Stewart Visinsky,Consumer,United States,Santa Ana,California,West,OFF-PA-10001293,Office Supplies,Paper,Xerox 1946,45.36,7.0,0.0,21.7728,0.016021538975186517,0.5567875190109406,1,Medium
11/22/2014,11/28/2014,Standard Class,Tony Chapman,Home Office,United States,Bolingbrook,Illinois,Central,OFF-BI-10002571,Office Supplies,Binders,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",9.98,5.0,0.8,-16.467,0.003401491576885267,0.20936837342665734,0,Low
07-07-2016,7/13/2016,Standard Class,Chad Cunningham,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001308,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,9.42,5.0,0.7,-7.85,0.0032017395547527428,0.28765619861140646,0,Low
11/17/2017,11/23/2017,Standard Class,Christine Sundaresam,Consumer,United States,Salem,Virginia,South,OFF-AP-10004036,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,35.04,2.0,0.0,12.264,0.012340394567315718,0.470397444493505,0,Low
5/26/2015,5/29/2015,Second Class,Ben Ferrer,Home Office,United States,Jacksonville,North Carolina,South,OFF-PA-10003134,Office Supplies,Paper,Xerox 1937,153.728,4.0,0.2,53.8048,0.054676408858146106,0.8478070868788625,0,Low
3/30/2014,04-04-2014,Standard Class,Dorris liebe,Corporate,United States,Seattle,Washington,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,44.4,3.0,0.0,22.2,0.015679106937245047,0.5606687490119763,0,Low
9/24/2015,9/29/2015,Standard Class,Jamie Frazer,Consumer,United States,New York City,New York,East,OFF-EN-10003055,Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",39.98,1.0,0.0,17.991,0.014102492762556196,0.5224288214034571,0,Low
7/31/2017,08-04-2017,Standard Class,Laurel Beltran,Home Office,United States,Wilmington,Delaware,East,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,11.54,1.0,0.0,5.5392,0.003957943638540155,0.4093007789715831,0,Low
12/22/2017,12/27/2017,Second Class,Jason Gross,Corporate,United States,Providence,Rhode Island,East,OFF-SU-10003505,Office Supplies,Supplies,Premier Electric Letter Opener,695.16,6.0,0.0,34.758,0.24780522465681887,0.6747616477783775,1,Medium
06-12-2016,6/16/2016,Second Class,Arthur Wiediger,Home Office,United States,Houston,Texas,Central,OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk,11.264,8.0,0.2,3.9424,0.0038594944276319825,0.3947934099040414,1,Medium
6/18/2017,6/20/2017,Second Class,Neil Knudson,Home Office,United States,Corpus Christi,Texas,Central,OFF-PA-10000167,Office Supplies,Paper,Xerox 1925,74.352,3.0,0.2,23.235,0.026362986521018907,0.5700720098993171,0,Low
4/30/2017,05-05-2017,Standard Class,Ann Steele,Home Office,United States,Boynton Beach,Florida,South,OFF-AR-10002280,Office Supplies,Art,Staples in misc. colors,15.528,3.0,0.2,4.8525,0.005380463396155345,0.4030619197915475,0,Low
06-06-2016,06-07-2016,First Class,Clytie Kelty,Consumer,United States,Little Rock,Arkansas,South,OFF-PA-10001534,Office Supplies,Paper,Xerox 230,12.96,2.0,0.0,6.2208,0.004464457694661913,0.41549330324289857,0,Low
9/26/2016,9/30/2016,Standard Class,Dorothy Wardle,Corporate,United States,San Francisco,California,West,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,12.96,2.0,0.0,6.2208,0.004464457694661913,0.41549330324289857,0,Low
7/21/2017,7/26/2017,Standard Class,Sean Wendt,Home Office,United States,Cleveland,Ohio,East,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,33.93,3.0,0.7,-22.62,0.011944457523445893,0.153466668847133,0,Low
04-02-2017,04-05-2017,First Class,Alyssa Tate,Home Office,United States,Meriden,Connecticut,East,OFF-AR-10000246,Office Supplies,Art,Newell 318,11.12,4.0,0.0,2.8912,0.0038081296219407623,0.38524296754194226,0,Low
9/20/2014,9/24/2014,Standard Class,Duane Noonan,Consumer,United States,Columbia,Maryland,East,FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",164.22,3.0,0.0,50.9082,0.05841890567281475,0.8214906757810159,0,Low
06-06-2016,06-10-2016,Standard Class,Liz Preis,Consumer,United States,Fairfield,Ohio,East,FUR-FU-10004845,Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",82.64,2.0,0.2,0.0,0.02931931644858026,0.35897561693568175,0,Low
10-01-2017,10-08-2017,Standard Class,Ken Heidel,Corporate,United States,San Antonio,Texas,Central,OFF-AR-10000369,Office Supplies,Art,Design Ebony Sketching Pencil,6.672,6.0,0.2,0.5004,0.0022215278461452854,0.3635218891559961,1,Medium
9/18/2017,9/25/2017,Standard Class,Muhammed MacIntyre,Corporate,United States,New York City,New York,East,OFF-PA-10001639,Office Supplies,Paper,Xerox 203,19.44,3.0,0.0,9.3312,0.006775873950766834,0.44375214639650695,0,Low
09-01-2017,09-06-2017,Standard Class,Sung Shariari,Consumer,United States,Redmond,Washington,West,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,22.92,5.0,0.2,8.022,0.008017190088304663,0.43185770276973734,0,Low
11/28/2016,12-01-2016,Second Class,Randy Ferguson,Corporate,United States,Marietta,Georgia,South,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02,3.0,0.0,56.301,0.4014930036854248,0.8704857533783601,0,Low
11/18/2017,11/21/2017,First Class,Christina DeMoss,Consumer,United States,Seattle,Washington,West,TEC-AC-10003832,Technology,Accessories,ImationÂ 16GB Mini TravelDrive USB 2.0Â Flash Drive,132.52,4.0,0.0,54.3332,0.047111514419955806,0.8526077468333271,0,Low
12/26/2014,12/31/2014,Standard Class,Maureen Gnade,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",18.264,3.0,0.2,6.1641,0.006356394704288533,0.4149781680812442,0,Low
4/13/2015,4/19/2015,Standard Class,Bill Tyler,Corporate,United States,Los Angeles,California,West,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,37.68,2.0,0.0,15.8256,0.01328208267165476,0.5027555642774209,0,Low
12/17/2015,12/22/2015,Standard Class,Mick Crebagga,Consumer,United States,Bloomington,Illinois,Central,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",41.552,2.0,0.6,-19.7372,0.014663225224685356,0.17965770313314838,0,Low
7/20/2017,7/26/2017,Standard Class,Carlos Soltero,Consumer,United States,Chicago,Illinois,Central,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",69.712,2.0,0.2,8.714,0.024707898337635134,0.4381447139137372,0,Low
